16 Jun 2022 13:34:27,248 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider.start:62)  - Configuration provider starting
16 Jun 2022 13:34:27,334 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.source.taildir.ReliableTaildirEventReader.openFile:290)  - Opening file: /usr/local/var/log/nginx/access.log, inode: 72303316, pos: 0
16 Jun 2022 13:34:27,335 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.source.taildir.ReliableTaildirEventReader.<init>:95)  - Updating position from position file: /Users/yokey/.flume/taildir_position.json
16 Jun 2022 13:34:27,340 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.source.taildir.TailFile.updatePos:126)  - Updated position, file: /usr/local/var/log/nginx/access.log, inode: 72303316, pos: 2256
16 Jun 2022 13:34:27,341 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.instrumentation.MonitoredCounterGroup.register:119)  - Monitored counter group for type: SOURCE, name: r4: Successfully registered new MBean.
16 Jun 2022 13:34:27,341 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.instrumentation.MonitoredCounterGroup.start:95)  - Component type: SOURCE, name: r4 started
16 Jun 2022 13:34:42,366 INFO  [SinkRunner-PollingRunner-DefaultSinkProcessor] (org.apache.flume.sink.hive.HiveSink.getOrCreateWriter:344)  - k1: Creating Writer to Hive end point : {metaStoreUri='thrift://127.0.0.1:9083', database='logsdb', table='weblogs', partitionVals=[22-06-16-13-30] }
16 Jun 2022 13:34:42,881 INFO  [hive-k1-call-runner-0] (org.apache.hive.hcatalog.common.HiveClientCache.<init>:119)  - Initializing cache: eviction-timeout=120 initial-capacity=50 maximum-capacity=50
16 Jun 2022 13:34:42,945 WARN  [hive-k1-call-runner-0] (org.apache.hadoop.util.NativeCodeLoader.<clinit>:60)  - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
16 Jun 2022 13:34:44,121 INFO  [SinkRunner-PollingRunner-DefaultSinkProcessor] (org.apache.flume.sink.hive.HiveWriter.nextTxnBatch:398)  - Acquired Transaction batch TxnId/WriteIds=[922/101...1021/200] on endPoint = {metaStoreUri='thrift://127.0.0.1:9083', database='logsdb', table='weblogs', partitionVals=[22-06-16-13-30] };  TxnStatus[OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO] LastUsed txnid:0
16 Jun 2022 13:34:47,478 INFO  [hive-k1-call-runner-0] (org.apache.orc.impl.PhysicalFsWriter.<init>:92)  - ORC writer created for path: hdfs://0.0.0.0:9000/user/hive/warehouse/logsdb.db/weblogs/log_time=22-06-16-13-30/delta_0000101_0000200/bucket_00001 with stripeSize: 8388608 blockSize: 268435456 compression: ZLIB bufferSize: 32768
16 Jun 2022 13:34:47,483 INFO  [hive-k1-call-runner-0] (org.apache.orc.impl.OrcCodecPool.getCodec:56)  - Got brand-new codec ZLIB
16 Jun 2022 13:34:47,519 INFO  [hive-k1-call-runner-0] (org.apache.orc.impl.WriterImpl.<init>:196)  - ORC writer created for path: hdfs://0.0.0.0:9000/user/hive/warehouse/logsdb.db/weblogs/log_time=22-06-16-13-30/delta_0000101_0000200/bucket_00001 with stripeSize: 8388608 blockSize: 268435456 compression: ZLIB bufferSize: 32768
16 Jun 2022 13:34:47,558 INFO  [SinkRunner-PollingRunner-DefaultSinkProcessor] (org.apache.flume.sink.hive.HiveWriter.commitTxn:337)  - Committing Txn 922 on EndPoint: {metaStoreUri='thrift://127.0.0.1:9083', database='logsdb', table='weblogs', partitionVals=[22-06-16-13-30] }
16 Jun 2022 13:36:47,408 INFO  [PollableSourceRunner-TaildirSource-r4] (org.apache.flume.source.taildir.TaildirSource.closeTailFiles:307)  - Closed file: /usr/local/var/log/nginx/access.log, inode: 72303316, pos: 2441
16 Jun 2022 14:08:25,289 INFO  [agent-shutdown-hook] (org.apache.flume.node.Application.stopAllComponents:125)  - Shutting down configuration: { sourceRunners:{r4=PollableSourceRunner: { source:Taildir source: { positionFile: /Users/yokey/.flume/taildir_position.json, skipToEnd: false, byteOffsetHeader: false, idleTimeout: 120000, writePosInterval: 3000 } counterGroup:{ name:null counters:{runner.backoffs.consecutive=208, runner.polls=208, runner.backoffs=208} } }} sinkRunners:{k1=SinkRunner: { policy:org.apache.flume.sink.DefaultSinkProcessor@77c174d2 counterGroup:{ name:null counters:{runner.backoffs.consecutive=128, runner.backoffs=131} } }} channels:{c1=org.apache.flume.channel.MemoryChannel{name: c1}} }
16 Jun 2022 14:08:25,290 INFO  [agent-shutdown-hook] (org.apache.flume.node.Application.stopAllComponents:129)  - Stopping Source r4
16 Jun 2022 14:08:25,290 INFO  [agent-shutdown-hook] (org.apache.flume.lifecycle.LifecycleSupervisor.unsupervise:169)  - Stopping component: PollableSourceRunner: { source:Taildir source: { positionFile: /Users/yokey/.flume/taildir_position.json, skipToEnd: false, byteOffsetHeader: false, idleTimeout: 120000, writePosInterval: 3000 } counterGroup:{ name:null counters:{runner.backoffs.consecutive=208, runner.polls=208, runner.backoffs=208} } }
16 Jun 2022 14:08:25,291 INFO  [PollableSourceRunner-TaildirSource-r4] (org.apache.flume.source.PollableSourceRunner$PollingRunner.run:143)  - Source runner interrupted. Exiting
16 Jun 2022 14:08:25,292 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:149)  - Component type: SOURCE, name: r4 stopped
16 Jun 2022 14:08:25,292 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:155)  - Shutdown Metric for type: SOURCE, name: r4. source.start.time == 1655357667341
16 Jun 2022 14:08:25,292 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:161)  - Shutdown Metric for type: SOURCE, name: r4. source.stop.time == 1655359705292
16 Jun 2022 14:08:25,292 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.append-batch.accepted == 1
16 Jun 2022 14:08:25,292 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.append-batch.received == 1
16 Jun 2022 14:08:25,292 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.append.accepted == 0
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.append.received == 0
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.channel.write.fail == 0
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.event.read.fail == 0
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.events.accepted == 1
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.events.received == 1
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.generic.processing.fail == 0
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.instrumentation.MonitoredCounterGroup.stop:177)  - Shutdown Metric for type: SOURCE, name: r4. src.open-connection.count == 0
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.source.taildir.TaildirSource.stop:144)  - Taildir source r4 stopped. Metrics: SOURCE:r4{src.events.accepted=1, src.open-connection.count=0, src.append.received=0, src.channel.write.fail=0, src.append-batch.received=1, src.generic.processing.fail=0, src.append-batch.accepted=1, src.append.accepted=0, src.events.received=1, src.event.read.fail=0}
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.node.Application.stopAllComponents:139)  - Stopping Sink k1
16 Jun 2022 14:08:25,293 INFO  [agent-shutdown-hook] (org.apache.flume.lifecycle.LifecycleSupervisor.unsupervise:169)  - Stopping component: SinkRunner: { policy:org.apache.flume.sink.DefaultSinkProcessor@77c174d2 counterGroup:{ name:null counters:{runner.backoffs.consecutive=128, runner.backoffs=131} } }
16 Jun 2022 14:08:25,333 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 923
16 Jun 2022 14:08:25,520 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 924
16 Jun 2022 14:08:25,530 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 925
16 Jun 2022 14:08:25,539 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 926
16 Jun 2022 14:08:25,548 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 927
16 Jun 2022 14:08:25,558 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 928
16 Jun 2022 14:08:25,567 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 929
16 Jun 2022 14:08:25,576 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 930
16 Jun 2022 14:08:25,584 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 931
16 Jun 2022 14:08:25,592 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 932
16 Jun 2022 14:08:25,600 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 933
16 Jun 2022 14:08:25,609 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 934
16 Jun 2022 14:08:25,617 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 935
16 Jun 2022 14:08:25,626 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 936
16 Jun 2022 14:08:25,634 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 937
16 Jun 2022 14:08:25,643 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 938
16 Jun 2022 14:08:25,651 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 939
16 Jun 2022 14:08:25,659 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 940
16 Jun 2022 14:08:25,667 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 941
16 Jun 2022 14:08:25,676 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 942
16 Jun 2022 14:08:25,685 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 943
16 Jun 2022 14:08:25,692 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 944
16 Jun 2022 14:08:25,700 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 945
16 Jun 2022 14:08:25,708 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 946
16 Jun 2022 14:08:25,716 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 947
16 Jun 2022 14:08:25,725 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 948
16 Jun 2022 14:08:25,733 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 949
16 Jun 2022 14:08:25,741 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 950
16 Jun 2022 14:08:25,748 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 951
16 Jun 2022 14:08:25,755 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 952
16 Jun 2022 14:08:25,763 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 953
16 Jun 2022 14:08:25,777 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 954
16 Jun 2022 14:08:25,787 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 955
16 Jun 2022 14:08:25,795 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 956
16 Jun 2022 14:08:25,804 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 957
16 Jun 2022 14:08:25,812 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 958
16 Jun 2022 14:08:25,819 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 959
16 Jun 2022 14:08:25,826 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 960
16 Jun 2022 14:08:25,836 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 961
16 Jun 2022 14:08:25,844 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 962
16 Jun 2022 14:08:25,854 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 963
16 Jun 2022 14:08:25,863 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 964
16 Jun 2022 14:08:25,873 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 965
16 Jun 2022 14:08:25,882 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 966
16 Jun 2022 14:08:25,891 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 967
16 Jun 2022 14:08:25,900 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 968
16 Jun 2022 14:08:25,909 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 969
16 Jun 2022 14:08:25,919 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 970
16 Jun 2022 14:08:25,934 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 971
16 Jun 2022 14:08:25,946 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 972
16 Jun 2022 14:08:25,954 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 973
16 Jun 2022 14:08:25,962 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 974
16 Jun 2022 14:08:25,971 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 975
16 Jun 2022 14:08:25,979 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 976
16 Jun 2022 14:08:25,988 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 977
16 Jun 2022 14:08:25,996 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 978
16 Jun 2022 14:08:26,007 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 979
16 Jun 2022 14:08:26,016 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 980
16 Jun 2022 14:08:26,024 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 981
16 Jun 2022 14:08:26,032 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 982
16 Jun 2022 14:08:26,041 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 983
16 Jun 2022 14:08:26,049 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 984
16 Jun 2022 14:08:26,058 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 985
16 Jun 2022 14:08:26,066 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 986
16 Jun 2022 14:08:26,075 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 987
16 Jun 2022 14:08:26,082 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 988
16 Jun 2022 14:08:26,089 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 989
16 Jun 2022 14:08:26,096 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 990
16 Jun 2022 14:08:26,103 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 991
16 Jun 2022 14:08:26,112 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 992
16 Jun 2022 14:08:26,119 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 993
16 Jun 2022 14:08:26,126 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 994
16 Jun 2022 14:08:26,132 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 995
16 Jun 2022 14:08:26,139 INFO  [hive-k1-call-runner-0] (org.apache.flume.sink.hive.HiveWriter$4.call:297)  - Aborted txn 996
